phrase,total_occurences
north dakota,670
united states,592
american people,532
look forward,531
president realdonaldtrump,472
small businesses,472
covid 19,469
law enforcement,424
health care,390
last week,385
north carolina,380
men women,355
op ed,353
supreme court,351
national security,342
president trump,340
president biden,336
across country,310
communist party,298
senate floor,295
chinese communist,286
joe biden,276
happy birthday,254
chinese communist party,254
biden administration,243
every day,236
great news,228
federal government,226
looking forward,225
southern border,218
make sure,218
town hall,218
small business,209
full statement,209
forward working,204
loved ones,203
north carolinians,196
across state,195
communist china,190
look forward working,180
great see,168
bipartisan legislation,167
years ago,166
big tech,166
coney barrett,165
amy coney barrett,164
amy coney,164
hong kong,161
last night,158
iowa farmers,153
